Route,Routed utt.,WER,CER,RTF
0\%,0,2.9433443074050416,0.9897182413555181,0.001283428772693165
10\%,102,2.5158468871308535,0.816658937438496,0.001435613577727487
25\%,256,2.1817109724337866,0.692237215668088,0.0016435989080545962
50\%,512,2.0097292516338263,0.6356818875906299,0.0019700988364716406
75\%,768,1.88688516534814,0.6028797973057042,0.002288606374619678
100\%,1024,1.8230062404795835,0.5746021332669751,0.0026200393240204977
Oracle,-,1.4495602181710971,0.5203090183126152,-
