System,Rep.,N,WER,CER,RTF
wav2vec2-base-960h,final,1024,2.9433443074050416,0.9897182413555181,0.0014612364933664307
wav2vec2-base-960h,last4,1024,3.3266178566163824,1.1107466434412787,0.00151031833588316
wav2vec2-base-960h,midlast,1024,3.704977642376296,1.1401554140415568,0.0014918296278647748
hubert-large-ls960-ft,final,1024,1.8230062404795835,0.5746021332669751,0.0025617529421999253
wav2vec2-large-960h-lv60-self,final,1024,1.6362832293253402,0.5316200839281069,0.002569158921680856
