System,Rep.,N,WER,CER,RTF
wav2vec2-base-960h,final,128,2.474402730375427,0.9451035592197868,0.0025213174196433486
wav2vec2-base-960h,last4,128,2.858361774744027,1.0255379046853006,0.002652133267842405
hubert-large-ls960-ft,final,128,1.5784982935153582,0.49266036597627183,0.004608187059436482
