Route,Routed utt.,WER,CER,RTF
0\%,0,2.474402730375427,0.9451035592197868,0.002215141789279328
25\%,32,1.877133105802048,0.633420470540921,0.002614840393239643
50\%,64,1.7918088737201365,0.6032575909913533,0.0030124322864591158
75\%,96,1.7064846416382253,0.5529861250754071,0.003415768197042139
100\%,128,1.5784982935153582,0.49266036597627183,0.003951811207399019
Oracle,-,1.1945392491467577,0.38206314096119043,-
