System,K,Tok/s,Dedup tok/s,Bit/s,Dedup bit/s
hubert-base-ls960,50,49.86197714125403,25.417318649505727,281.4138283230724,143.45169118748944
hubert-base-ls960,100,49.86197714125403,28.154568350221727,331.2758054643264,187.05490320405616
hubert-base-ls960,200,49.86197714125403,29.511692151417055,381.1377826055804,225.5831307223354
hubert-base-ls960,500,49.86197714125403,33.313610403191866,447.0517310552356,298.68264461829307
